# HTML content-model facts: a machine-readable projection of the WHATWG HTML
# Living Standard, the single source the vize HTML conformance checker reads
# (`vize_patina::html_content_model`). Every row names the spec clause it
# projects; the checker's verdicts over it are pinned against an independent
# HTML parser (`tools/support/compat/davinci/html-content-model-oracle.mjs`).
#
# GENERATED from the snapshot excerpt in `whatwg/` — do not edit by hand:
#   rust-script tools/commands/davinci/html-content-model.rs --write
# snapshot	https://html.spec.whatwg.org/multipage/	Last Updated 21 September 2026
#
# Row format (tab separated):
#   kind	name	spec-anchor	members (space separated)
# kind:
#   set       an element set named by the tree-construction algorithm (§13.2)
#   category  a content category (§3.2.5.2, index "List of element content categories")
#   children  an element's content model (index "List of elements", Children column)
# member syntax:
#   tag            an HTML-namespace element, ASCII lowercase
#   svg:tag        an SVG-namespace element (case-adjusted per §13.2.6.5)
#   math:tag       a MathML-namespace element
#   tag?cond       conditional membership; cond is an attribute predicate the
#                  checker evaluates three-valued (dynamic bindings are unknown)
#   @category      every member of that category row
#   #text          text that is not inter-element whitespace
#
# Anchors are fragments of https://html.spec.whatwg.org/multipage/<anchor>.
# Every row is referenced by name from the checker; the checker's loader
# rejects unknown kinds, unknown names, duplicate rows and missing rows.

set	raw-text	parsing.html#generic-raw-text-element-parsing-algorithm	title noframes style script plaintext textarea xmp iframe noembed
set	scripting-dependent	parsing.html#parsing-main-inbody	noscript
set	void	parsing.html#parsing-main-inbody	area br embed img keygen wbr input param source track hr base basefont bgsound link meta col
set	foreign-breakout	parsing.html#parsing-main-inforeign	b big blockquote body br center code dd div dl dt em embed h1 h2 h3 h4 h5 h6 head hr i img li listing menu meta nobr ol p pre ruby s small span strong strike sub sup table tt u ul var font?font-presentational
set	mathml-text-integration	parsing.html#mathml-text-integration-point	math:mi math:mo math:mn math:ms math:mtext
set	html-integration	parsing.html#html-integration-point	math:annotation-xml?encoding-html svg:foreignObject svg:desc svg:title
set	table-children	parsing.html#parsing-main-intable	caption colgroup tbody tfoot thead style script template input?type-hidden form
set	table-wrapped	parsing.html#parsing-main-intable	col td th tr
set	section-children	parsing.html#parsing-main-intbody	tr style script template input?type-hidden form
set	section-wrapped	parsing.html#parsing-main-intbody	th td
set	row-children	parsing.html#parsing-main-intr	th td style script template input?type-hidden form
set	colgroup-children	parsing.html#parsing-main-incolgroup	col template
set	transparent	dom.html#transparent	a audio canvas del ins map object slot video

category	phrasing	dom.html#phrasing-content	a abbr audio b bdi bdo br button canvas cite code data datalist del dfn em embed i iframe img input ins kbd label map mark math:math meter noscript object output picture progress q ruby s samp script select selectedcontent slot small span strong sub sup svg:svg template textarea time u var video wbr #text area?in-map link?body-ok meta?itemprop
category	heading	dom.html#heading-content	h1 h2 h3 h4 h5 h6 hgroup
category	interactive	dom.html#interactive-content	button details embed iframe label select textarea a?href audio?controls img?usemap img?controls input?type-not-hidden video?controls
category	script-supporting	dom.html#script-supporting-elements-2	script template

children	abbr	indices.html#elements-3:abbr	@phrasing
children	b	indices.html#elements-3:b	@phrasing
children	bdi	indices.html#elements-3:bdi	@phrasing
children	bdo	indices.html#elements-3:bdo	@phrasing
children	button	indices.html#elements-3:button	@phrasing
children	cite	indices.html#elements-3:cite	@phrasing
children	code	indices.html#elements-3:code	@phrasing
children	data	indices.html#elements-3:data	@phrasing
children	dfn	indices.html#elements-3:dfn	@phrasing
children	em	indices.html#elements-3:em	@phrasing
children	h1	sections.html#the-h1,-h2,-h3,-h4,-h5,-and-h6-elements	@phrasing
children	h2	sections.html#the-h1,-h2,-h3,-h4,-h5,-and-h6-elements	@phrasing
children	h3	sections.html#the-h1,-h2,-h3,-h4,-h5,-and-h6-elements	@phrasing
children	h4	sections.html#the-h1,-h2,-h3,-h4,-h5,-and-h6-elements	@phrasing
children	h5	sections.html#the-h1,-h2,-h3,-h4,-h5,-and-h6-elements	@phrasing
children	h6	sections.html#the-h1,-h2,-h3,-h4,-h5,-and-h6-elements	@phrasing
children	i	indices.html#elements-3:i	@phrasing
children	kbd	indices.html#elements-3:kbd	@phrasing
children	label	indices.html#elements-3:label	@phrasing
children	legend	indices.html#elements-3:legend	@phrasing @heading
children	mark	indices.html#elements-3:mark	@phrasing
children	meter	indices.html#elements-3:meter	@phrasing
children	output	indices.html#elements-3:output	@phrasing
children	p	indices.html#elements-3:p	@phrasing
children	pre	indices.html#elements-3:pre	@phrasing
children	progress	indices.html#elements-3:progress	@phrasing
children	q	indices.html#elements-3:q	@phrasing
children	rt	indices.html#elements-3:rt	@phrasing
children	ruby	indices.html#elements-3:ruby	@phrasing rt rp
children	s	indices.html#elements-3:s	@phrasing
children	samp	indices.html#elements-3:samp	@phrasing
children	small	indices.html#elements-3:small	@phrasing
children	span	indices.html#elements-3:span	@phrasing
children	strong	indices.html#elements-3:strong	@phrasing
children	sub	text-level-semantics.html#the-sub-and-sup-elements	@phrasing
children	summary	indices.html#elements-3:summary	@phrasing @heading
children	sup	text-level-semantics.html#the-sub-and-sup-elements	@phrasing
children	time	indices.html#elements-3:time	@phrasing
children	u	indices.html#elements-3:u	@phrasing
children	var	indices.html#elements-3:var	@phrasing
children	ul	indices.html#elements-3:ul	li @script-supporting
children	ol	indices.html#elements-3:ol	li @script-supporting
children	menu	indices.html#elements-3:menu	li @script-supporting
children	dl	indices.html#elements-3:dl	dt dd div @script-supporting
children	hgroup	indices.html#elements-3:hgroup	h1 h2 h3 h4 h5 h6 p @script-supporting
children	picture	indices.html#elements-3:picture	source img @script-supporting
children	table	indices.html#elements-3:table	caption colgroup thead tbody tfoot tr @script-supporting
children	thead	indices.html#elements-3:thead	tr @script-supporting
children	tbody	indices.html#elements-3:tbody	tr @script-supporting
children	tfoot	indices.html#elements-3:tfoot	tr @script-supporting
children	tr	indices.html#elements-3:tr	th td @script-supporting
children	colgroup	indices.html#elements-3:colgroup	col template
